ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789536549	115	4.343	uncounted	exit	4.0	0	-c
1789536555	153	10.415	counted	exit	4.2	1	train.py
1789536574	269	19.204	counted	exit	5.9	1	train.py
1789536582	370	8.622	counted	exit	2.8	1	train.py
1789536596	489	2.809	counted	exit	1.3	1	train.py
1789536606	595	3.687	counted	exit	1.7	1	train.py
1789536616	696	9.417	counted	exit	3.2	1	train.py
1789536625	775	12.952	counted	exit	4.0	1	train.py
1789536638	886	12.558	counted	exit	4.0	1	train.py
1789536650	988	14.162	counted	exit	4.4	1	train.py
1789536663	1088	23.813	counted	exit	6.9	1	train.py
1789536675	1168	16.891	counted	exit	5.0	1	train.py
1789536685	1249	27.904	counted	exit	7.9	1	train.py
1789536722	1372	59.481	counted	exit	15.8	3	train.py
1789536760	1453	108.276	counted	exit	28.6	5	train.py
1789536787	1559	71.530	counted	exit	18.9	3	train.py
1789536810	1662	65.017	counted	exit	17.3	3	train.py
1789536834	1743	61.717	counted	exit	16.2	3	train.py
1789536854	1824	63.680	counted	exit	17.1	3	train.py
1789536877	1906	60.494	counted	exit	16.0	3	train.py
1789536903	2007	84.991	counted	exit	22.2	3	train.py
1789536936	2070	115.960	counted	exit	30.6	3	train.py
1789536971	2136	124.530	counted	exit	32.9	3	train.py
1789537014	2202	157.097	counted	exit	42.3	3	train.py
1789537064	2269	180.306	counted	exit	46.9	3	train.py
1789537126	2337	206.079	counted	exit	54.3	3	train.py
1789537245	2407	329.822	counted	exit	86.0	3	train.py
1789537334	2494	297.259	counted	exit	76.8	3	train.py
1789537394	2576	221.377	counted	exit	57.6	3	train.py
1789537467	2644	271.594	counted	exit	69.5	3	train.py
1789537552	2713	312.984	counted	exit	81.1	3	train.py
1789537642	2880	290.585	counted	exit	75.6	3	train.py
1789537736	2945	345.350	counted	exit	90.2	3	train.py
1789537839	3011	384.574	counted	exit	100.4	3	train.py
1789537950	3182	363.486	counted	exit	95.5	3	train.py
1789538053	3246	355.824	counted	exit	94.8	3	train.py
1789538144	3314	327.670	counted	exit	86.7	3	train.py
1789538271	3401	472.262	counted	term	120.0	2	train.py
1789538279	3505	1.731	counted	exit	1.0	0	train.py
1789538377	3612	332.535	counted	exit	88.7	3	train.py
1789538383	3676	1.648	counted	exit	0.9	0	train.py
1789538511	3763	439.099	exempt	exit	118.1	3	validate.py
