study,box,harness,model,seed,compliant,holdout_auc,auc_2006_rescored,auc_2007,seconds,error
study2,var3,pi,glm-5.3-flash,34,True,0.746034162812,0.743509,0.729336,120,
study2,var3,pi,glm-5.3-flash,39,True,0.733102128294,0.732975,0.701521,155,
study2,var4,pi,glm-5.3-flash,40,True,0.72678318724,0.726613,0.726738,179,
study2,var3,pi,glm-5.3-flash,38,True,0.755516265166,0.755664,0.720126,219,
study2,var3,pi,glm-5.3-flash,37,True,0.719806775952,0.719807,0.723036,292,
study2,var4,pi,glm-5.3-flash,42,True,0.723187641802,0.723314,0.720616,80,
study2,var4,pi,glm-5.3-flash,41,True,0.732601664362,0.732587,0.728908,150,
study2,var4,pi,glm-5.3-flash,44,True,0.73586266311,0.735782,0.724163,71,
study2,var4,pi,glm-5.3-flash,46,True,0.7271542467200001,0.727453,0.728070,128,
study2,var4,pi,glm-5.3-flash,45,True,0.7374343631539999,0.737488,0.723589,182,
study2,var4,pi,glm-5.3-flash,43,True,0.74546078439,0.745040,0.728226,256,
study2,var4,pi,glm-5.3-flash,47,True,0.7494886751200001,0.749139,0.725521,249,
study2,var4,pi,glm-5.3-flash,49,True,0.729888300428,0.729975,0.728145,128,
study2,var4,pi,glm-5.3-flash,50,True,0.7408723870280001,0.740876,0.726720,128,
study2,var4,pi,glm-5.3-flash,51,True,0.735854861542,0.733424,0.727464,46,
study2,var4,pi,glm-5.3-flash,48,True,0.746019416622,0.745967,0.735988,243,
study2,var4,pi,glm-5.3-flash,52,True,0.748519044774,0.747835,0.730825,124,
study3,var5,hermes,glm-5.3,3,True,0.742748516942,0.742745,0.733744,73,
study3,var5,hermes,glm-5.3,2,True,0.752242817524,0.751536,0.730951,172,
study3,var5,hermes,glm-5.3,4,True,0.743368291164,0.743394,0.724556,207,
study3,var5,hermes,glm-5.3,5,True,0.7353006107519999,0.735052,0.723009,198,
study3,var5,hermes,glm-5.3,6,True,0.753724579952,0.753556,0.731095,180,
study3,var5,hermes,glm-5.3,1,False,0.794956404044,0.790575,0.748756,403,
study3,var5,hermes,glm-5.3,10,True,0.7535895298699999,0.753324,0.730734,33,
study3,var5,hermes,glm-5.3,7,True,0.745912737806,0.745771,0.725242,187,
study3,var5,hermes,glm-5.3,8,True,0.749250896558,0.748255,0.719476,193,
study3,var5,hermes,glm-5.3,9,True,0.729314216302,0.729378,0.727063,235,
study3,var5,hermes,glm-5.3,13,True,0.758726901396,0.758815,0.727632,77,
study3,var5,hermes,glm-5.3,11,True,0.751278536342,0.751352,0.717276,199,
study3,var6,hermes,glm-5.3,15,True,0.7218780930440001,0.721859,0.725481,36,
study3,var6,hermes,glm-5.3,14,True,0.734755531654,0.734682,0.724705,139,
study3,var5,hermes,glm-5.3,12,True,0.748407837982,0.745977,0.729889,271,
study3,var6,hermes,glm-5.3,19,True,0.714770751736,0.714771,0.717540,3,
study3,var6,hermes,glm-5.3,16,True,0.738175148092,0.738462,0.727332,142,
study3,var6,hermes,glm-5.3,21,True,0.738051822756,0.738052,0.716249,36,
study3,var6,hermes,glm-5.3,17,True,0.7558087726080001,0.756479,0.737358,217,
study3,var6,hermes,glm-5.3,20,False,0.726208612652,0.725730,0.717316,122,
study3,var6,hermes,glm-5.3,18,True,0.754196472366,0.754135,0.731435,184,
study3,var6,hermes,glm-5.3,23,True,0.758409465518,0.758263,0.727990,134,
study3,var6,hermes,glm-5.3,22,True,0.752740855854,0.752439,0.732821,207,
study3,var6,hermes,glm-5.3,24,True,0.7490491730720001,0.748873,0.729715,179,
study3,var7,hermes,glm-5.3,27,True,0.766160236356,0.765885,0.720065,69,
study3,var6,hermes,glm-5.3,25,True,0.7619845387500002,0.761805,0.733761,160,
study3,var7,hermes,glm-5.3,28,True,0.7420951656139999,0.742553,0.701985,98,
study3,var6,hermes,glm-5.3,26,False,0.8343701363399999,0.833443,0.761595,175,
study3,var7,hermes,glm-5.3,29,True,0.74182299605,0.741949,0.733848,116,
study3,var7,hermes,glm-5.3,31,True,0.727257918576,0.727378,0.722556,91,
study3,var7,hermes,glm-5.3,30,True,0.7459945777539999,0.746056,0.722336,192,
study3,var7,hermes,glm-5.3,32,True,0.739607294736,0.739569,0.726737,187,
study3,var7,hermes,glm-5.3,35,True,0.756004631206,0.754513,0.728939,94,
study3,var7,hermes,glm-5.3,33,True,0.742026838418,0.741979,0.730713,191,
study3,var7,hermes,glm-5.3,38,True,0.7438819639559999,0.743819,0.733401,51,
study3,var7,hermes,glm-5.3,34,True,0.739682325368,0.739697,0.732776,192,
study3,var7,hermes,glm-5.3,36,True,0.7469416773600001,0.746975,0.727557,140,
study3,var7,hermes,glm-5.3,37,True,0.73743543152,0.737137,0.727289,133,
study3,var7,hermes,glm-5.3,39,False,0.801068092862,0.801072,0.745546,143,
study3,var8,hermes,glm-5.3,41,True,0.7349496458620001,0.734950,0.730364,84,
study3,var8,hermes,glm-5.3,44,True,0.722392662308,0.722456,0.722909,73,
study3,var8,hermes,glm-5.3,45,True,0.717766742326,0.717767,0.721480,4,
study3,var8,hermes,glm-5.3,40,True,0.7570962345,0.756588,0.732594,223,
study3,var8,hermes,glm-5.3,43,True,0.7600165883680001,0.760108,0.730946,154,
study3,var8,hermes,glm-5.3,42,True,0.7460883859459999,0.744785,0.721567,284,
study3,var8,hermes,glm-5.3,47,False,0.8087473645619999,0.808914,0.799721,166,
study3,var8,hermes,glm-5.3,50,True,0.7359178403559999,0.734767,0.724495,45,
study3,var8,hermes,glm-5.3,49,True,0.752742447006,0.752742,0.737996,119,
study3,var8,hermes,glm-5.3,46,True,0.748760061556,0.749340,0.731450,256,
study3,var8,hermes,glm-5.3,48,True,0.74546853892,0.744700,0.727664,255,
study3,var5,opencode,glm-5.3,1,True,0.7489460531359999,0.749464,0.731657,77,
study3,var8,hermes,glm-5.3,52,True,0.74573906199,0.746002,0.731385,148,
study3,var5,opencode,glm-5.3,2,True,0.736685753648,0.736427,0.727415,128,
study3,var8,hermes,glm-5.3,51,True,0.757444538376,0.757451,0.724541,240,
study3,var5,opencode,glm-5.3,3,True,0.758153259938,0.757610,0.741283,238,
study3,var5,opencode,glm-5.3,4,True,0.751806282696,0.751535,0.733999,199,
study3,var5,opencode,glm-5.3,5,True,0.7646404202279999,0.764640,0.731669,169,
study3,var5,opencode,glm-5.3,7,True,0.7321349836339999,0.732227,0.731871,63,
study3,var5,opencode,glm-5.3,10,True,0.7427618397339999,0.738202,0.709335,58,
study3,var5,opencode,glm-5.3,9,True,0.729414917108,0.729554,0.726878,101,
study3,var5,opencode,glm-5.3,6,True,0.75069864895,0.749814,0.734238,292,
study3,var5,opencode,glm-5.3,13,True,0.7381834071940001,0.737618,0.722926,81,
study3,var5,opencode,glm-5.3,8,True,0.7563040518399999,0.756503,0.729061,237,
study3,var6,opencode,glm-5.3,15,True,0.7515297982739999,0.750449,0.715597,155,
study3,var5,opencode,glm-5.3,11,True,0.742533957884,0.742507,0.724745,302,
study3,var6,opencode,glm-5.3,14,True,0.7415943882620001,0.741370,0.735810,207,
study3,var6,opencode,glm-5.3,16,True,0.744160720704,0.744329,0.721851,69,
study3,var6,opencode,glm-5.3,17,True,0.747103883578,0.747044,0.726501,100,
study3,var6,opencode,glm-5.3,18,True,0.7630170065899999,0.763126,0.732828,132,
study3,var5,opencode,glm-5.3,12,True,0.75752721126,0.757480,0.731599,503,
study3,var6,opencode,glm-5.3,21,True,0.749518358304,0.749226,0.728140,75,
study3,var6,opencode,glm-5.3,19,True,0.744666522746,0.745065,0.713782,274,
study3,var6,opencode,glm-5.3,20,True,0.7258800165279999,0.725364,0.725690,235,
study3,var6,opencode,glm-5.3,22,True,0.7341320553940001,0.734996,0.727187,274,
study3,var6,opencode,glm-5.3,23,True,0.744343412542,0.744452,0.726263,280,
study3,var6,opencode,glm-5.3,24,True,0.74872205324,0.748493,0.732949,200,
study3,var6,opencode,glm-5.3,25,True,0.748389149882,0.748370,0.706922,210,
study3,var6,opencode,glm-5.3,26,True,0.73702892714,0.737175,0.732697,126,
study3,var7,opencode,glm-5.3,28,True,0.757209836398,0.757421,0.726381,129,
study3,var7,opencode,glm-5.3,27,True,0.760182748864,0.759580,0.729063,169,
study3,var7,opencode,glm-5.3,29,True,0.7457156477419999,0.746070,0.725231,160,
study3,var7,opencode,glm-5.3,30,True,0.7331988176839999,0.733112,0.728686,96,
study3,var7,opencode,glm-5.3,33,True,0.747537363044,0.747307,0.729734,109,
study3,var7,opencode,glm-5.3,31,True,0.7564429110439999,0.755450,0.728608,201,
study3,var7,opencode,glm-5.3,34,True,0.744253398592,0.744169,0.729947,162,
study3,var7,opencode,glm-5.3,36,True,0.727776344782,0.727568,0.727419,81,
study3,var7,opencode,glm-5.3,35,True,0.742330724354,0.741927,0.725470,203,
study3,var7,opencode,glm-5.3,37,True,0.744380326754,0.744567,0.723088,159,
study3,var7,opencode,glm-5.3,38,True,0.7481555645260001,0.748333,0.726195,129,
study3,var7,opencode,glm-5.3,32,True,0.7587774378600001,0.758468,0.726146,399,
study3,var7,opencode,glm-5.3,39,True,0.745541382706,0.745327,0.732304,132,
study3,var8,opencode,glm-5.3,41,True,0.760126903822,0.760173,0.728738,119,
study3,var8,opencode,glm-5.3,45,True,0.7362924258800001,0.736028,0.730821,51,
study3,var8,opencode,glm-5.3,40,True,0.740915709192,0.740565,0.728651,234,
study3,var8,opencode,glm-5.3,46,True,0.72477598859,0.724928,0.727574,54,
study3,var8,opencode,glm-5.3,44,True,0.752255569568,0.752337,0.728744,162,
study3,var8,opencode,glm-5.3,43,True,0.74633795664,0.746132,0.734056,255,
study3,var8,opencode,glm-5.3,49,True,0.721361016182,0.721400,0.722409,101,
study3,var8,opencode,glm-5.3,47,False,0.8388957659919999,0.837260,0.823494,170,
study3,var8,opencode,glm-5.3,51,True,0.728141607172,0.728122,0.726772,89,
study3,var8,opencode,glm-5.3,52,True,0.758001905104,0.758380,0.739183,150,
study3,var5,pi,glm-5.3,1,True,0.7458055917440001,0.745326,0.730904,140,
study3,var8,opencode,glm-5.3,50,True,0.754405278576,0.754245,0.721626,292,
study3,var8,opencode,glm-5.3,48,True,0.751156247308,0.750427,0.730909,358,
study3,var5,pi,glm-5.3,5,True,0.7348484446519999,0.734699,0.726543,35,
study3,var5,pi,glm-5.3,4,False,0.7414888022399999,0.741653,0.731129,84,
study3,var5,pi,glm-5.3,2,True,0.739022200268,0.738969,0.730401,148,
study3,var5,pi,glm-5.3,7,True,0.757854773604,0.757923,0.730614,40,
study3,var5,pi,glm-5.3,8,True,0.7359526388580001,0.735270,0.714341,114,
study3,var5,pi,glm-5.3,3,True,0.7559560714159999,0.755773,0.725542,241,
study3,var5,pi,glm-5.3,9,True,0.7358520393179999,0.735852,0.733623,123,
study3,var5,pi,glm-5.3,6,True,0.752502496236,0.751844,0.736971,306,
study3,var5,pi,glm-5.3,12,True,0.758454193054,0.756067,0.733644,144,
study3,var5,pi,glm-5.3,11,True,0.7486469464680001,0.748734,0.729310,167,
study3,var5,pi,glm-5.3,10,True,0.7614787955419999,0.761434,0.736923,268,
study3,var5,pi,glm-5.3,13,True,0.726839268878,0.727316,0.724624,143,
study3,var6,pi,glm-5.3,14,True,0.7586044203100001,0.758952,0.736378,126,
study3,var6,pi,glm-5.3,17,True,0.7506316358279999,0.750734,0.736102,90,
study3,var6,pi,glm-5.3,18,True,0.759651808378,0.759234,0.735219,107,
study3,var6,pi,glm-5.3,16,True,0.7396344035419999,0.739297,0.721838,199,
study3,var6,pi,glm-5.3,19,True,0.763747948184,0.763781,0.727352,102,
study3,var6,pi,glm-5.3,15,True,0.753063695444,0.750954,0.733773,291,
study3,var6,pi,glm-5.3,20,True,0.7594253994419999,0.759018,0.736319,123,
study3,var6,pi,glm-5.3,23,True,0.7449632257100001,0.744638,0.729988,107,
study3,var6,pi,glm-5.3,24,True,0.7626446195540001,0.762750,0.724477,121,
study3,var6,pi,glm-5.3,22,True,0.758784911956,0.758295,0.734269,189,
study3,var6,pi,glm-5.3,21,True,0.745904790852,0.745722,0.736483,212,
study3,var6,pi,glm-5.3,25,True,0.763025823178,0.762150,0.740789,199,
study3,var6,pi,glm-5.3,26,True,0.7635668448619999,0.763530,0.731830,158,
study3,var7,pi,glm-5.3,27,True,0.7633343995059999,0.763561,0.732733,156,
study3,var7,pi,glm-5.3,28,True,0.7648202704659999,0.764336,0.736538,169,
study3,var7,pi,glm-5.3,33,True,0.74360758878,0.743507,0.716322,64,
study3,var7,pi,glm-5.3,31,True,0.75916833991,0.758902,0.728213,197,
study3,var7,pi,glm-5.3,29,True,0.7606335167680001,0.759889,0.727257,261,
study3,var7,pi,glm-5.3,35,False,0.803491783746,0.803479,0.771267,140,
study3,var7,pi,glm-5.3,30,True,0.755678448686,0.753497,0.735801,305,
study3,var7,pi,glm-5.3,37,True,0.750713381256,0.750178,0.735635,146,
study3,var7,pi,glm-5.3,36,True,0.7589018696659999,0.758864,0.733300,211,
study3,var8,pi,glm-5.3,43,True,0.714770751736,0.714771,0.717540,3,
study3,var7,pi,glm-5.3,39,True,0.7559359515399999,0.756583,0.728539,155,
study3,var7,pi,glm-5.3,38,True,0.755418368084,0.755591,0.726630,189,
study3,var8,pi,glm-5.3,42,True,0.7462703675060001,0.746270,0.733163,140,
study3,var8,pi,glm-5.3,44,True,0.7470225618640001,0.747017,0.735284,233,
study3,var8,pi,glm-5.3,46,True,0.7563980703719999,0.756395,0.729471,226,
study3,var8,pi,glm-5.3,45,True,0.736936498154,0.736271,0.727266,271,
study3,var8,pi,glm-5.3,47,True,0.75764534775,0.757761,0.712647,220,
study3,var8,pi,glm-5.3,49,True,0.738428574576,0.739027,0.727471,192,
study3,var8,pi,glm-5.3,48,True,0.748565067296,0.748567,0.727817,264,
study3,var8,pi,glm-5.3,50,True,0.761655087818,0.761405,0.732330,231,
study3,var8,pi,glm-5.3,51,True,0.755919131108,0.756742,0.731341,239,
study3,var8,pi,glm-5.3,52,True,0.7529543828219999,0.752004,0.731157,104,
study3,var7,pi,glm-5.3,34,True,0.748093889522,0.748157,0.733799,130,
