ts	pid	kind	api	rows	seconds
1789624594	815	counted	train	100000	0.74
1789624595	815	counted	train	100000	0.77
1789624596	815	counted	train	100000	0.73
1789624599	815	counted	train	100000	0.73
1789624600	815	counted	train	100000	0.75
1789624783	858	counted	train	100000	0.77
1789624784	858	counted	train	100000	0.75
1789624785	858	counted	train	100000	0.79
1789624786	858	counted	train	100000	0.80
1789624787	858	counted	train	100000	0.80
1789624788	858	counted	train	100000	0.78
1789624797	858	counted	train	100000	0.85
1789624798	858	counted	train	100000	0.79
1789624799	858	counted	train	100000	0.79
1789624806	858	counted	train	100000	0.79
1789624807	858	counted	train	100000	0.75
1789624808	858	counted	train	100000	0.77
1789624809	858	counted	train	100000	0.80
1789624810	858	counted	train	100000	0.78
1789624811	858	counted	train	100000	0.76
1789624814	858	counted	train	100000	0.78
1789624815	858	counted	train	100000	0.78
1789625079	901	counted	train	100000	2.54
1789625080	901	counted	train	100000	0.75
1789625081	901	counted	train	100000	0.75
1789625082	901	counted	train	100000	0.73
1789625083	901	counted	train	100000	0.73
1789625084	901	counted	train	100000	0.73
1789625094	901	counted	train	100000	0.74
1789625095	901	counted	train	100000	0.74
1789625096	901	counted	train	100000	0.78
1789625103	901	counted	train	100000	0.84
1789625105	901	counted	train	100000	0.81
1789625106	901	counted	train	100000	0.82
1789625106	901	counted	train	100000	0.80
1789625107	901	counted	train	100000	0.80
1789625108	901	counted	train	100000	0.77
1789625112	901	counted	train	100000	0.84
1789625112	901	counted	train	100000	0.52
1789625308	942	counted	train	100000	0.75
1789625308	942	counted	train	100000	0.51
1789625309	942	counted	train	100000	0.49
1789625329	983	counted	train	100000	0.75
1789625329	983	counted	train	100000	0.47
1789625330	983	counted	train	100000	0.46
1789625331	983	counted	train	100000	0.75
1789625338	983	counted	train	100000	0.56
1789625339	983	counted	train	100000	0.60
1789625341	983	counted	train	100000	0.80
1789625342	983	counted	train	100000	0.86
1789625343	983	counted	train	100000	0.78
1789625343	983	counted	train	100000	0.52
1789625344	983	counted	train	100000	0.50
1789625345	983	counted	train	100000	0.51
1789625396	1024	counted	train	100000	0.74
1789625396	1024	counted	train	100000	0.47
1789625397	1024	counted	train	100000	0.54
1789625397	1024	counted	train	100000	0.43
1789625398	1024	counted	train	100000	0.69
1789625399	1024	counted	train	100000	0.70
1789625415	1024	counted	train	100000	0.80
1789625415	1024	counted	train	100000	0.50
1789625416	1024	counted	train	100000	0.47
1789625417	1024	counted	train	100000	0.76
1789625572	1105	counted	train	100000	0.77
1789625573	1105	counted	train	100000	0.49
1789625573	1105	counted	train	100000	0.56
1789625574	1105	counted	train	100000	0.46
1789625575	1105	counted	train	100000	0.57
1789625575	1105	counted	train	100000	0.78
1789625576	1105	counted	train	100000	0.77
1789625577	1105	counted	train	100000	0.99
1789625578	1105	counted	train	100000	0.79
1789625579	1105	counted	train	80000	0.65
1789625601	1105	counted	train	100000	0.73
1789625710	1146	counted	train	100000	0.61
1789625710	1146	counted	train	100000	0.37
1789625711	1146	counted	train	100000	0.51
1789625711	1146	counted	train	100000	0.44
1789625712	1146	counted	train	100000	0.49
1789625713	1146	counted	train	100000	0.69
1789625713	1146	counted	train	100000	0.68
1789625714	1146	counted	train	100000	0.89
1789625715	1146	counted	train	100000	0.74
1789625716	1146	counted	train	80000	0.58
1789625717	1146	counted	train	100000	0.67
1789625717	1146	counted	train	100000	0.69
1789625718	1146	counted	train	100000	0.44
