ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789641360	152	4.842	counted	exit	3.4	1	train.py
1789641371	195	0.780	uncounted	exit	0.4	0	-
1789641389	274	10.657	counted	exit	3.5	1	train.py
1789641459	356	196.878	uncounted	exit	51.7	7	/cell/harness_state/tmp/opencode/analysis1.py
1789641587	420	422.374	uncounted	exit	107.3	15	/cell/harness_state/tmp/opencode/analysis2.py
1789641713	475	417.231	uncounted	exit	106.1	37	/cell/harness_state/tmp/opencode/analysis3.py
1789641867	523	553.660	uncounted	exit	140.6	14	/cell/harness_state/tmp/opencode/analysis4.py
1789642088	576	832.439	uncounted	exit	211.7	12	/cell/harness_state/tmp/opencode/analysis5.py
1789642445	635	1355.430	uncounted	exit	346.6	10	/cell/harness_state/tmp/opencode/analysis6.py
1789642463	701	1.958	uncounted	exit	1.2	0	/cell/harness_state/tmp/opencode/analysis7.py
1789642727	741	993.116	uncounted	exit	259.6	18	/cell/harness_state/tmp/opencode/analysis7.py
1789643203	800	1781.707	uncounted	exit	462.8	15	/cell/harness_state/tmp/opencode/analysis8.py
1789643432	857	821.361	uncounted	exit	215.7	9	/cell/harness_state/tmp/opencode/analysis9.py
1789643463	930	59.452	counted	exit	16.6	1	train.py
1789643559	1009	327.044	counted	exit	88.5	5	train.py
1789643569	1054	0.559	uncounted	exit	0.3	0	-
1789643750	1091	664.700	uncounted	exit	173.4	8	/cell/harness_state/tmp/opencode/analysis10.py
1789643783	1219	67.975	counted	exit	19.3	1	train.py
1789643911	1299	458.533	counted	term	122.0	5	train.py
1789643939	1419	62.518	counted	exit	17.6	1	train.py
1789644073	1521	445.132	counted	exit	119.2	5	train.py
1789644207	1637	458.156	counted	term	120.0	7	train.py
1789644316	1776	359.178	counted	exit	96.9	5	train.py
1789644448	1836	446.626	uncounted	exit	117.8	5	/cell/harness_state/tmp/opencode/analysis11.py
1789644541	1888	308.013	uncounted	exit	80.9	3	/cell/harness_state/tmp/opencode/analysis12.py
1789644652	1958	375.094	counted	exit	101.0	5	train.py
1789644763	2055	374.590	counted	exit	100.4	5	train.py
1789644853	2099	223.304	uncounted	exit	75.6	3	/cell/harness_state/tmp/opencode/analysis13.py
1789644966	2239	338.233	counted	exit	90.5	6	train.py
1789645089	2379	392.306	counted	exit	107.9	6	train.py
1789645213	2505	423.629	counted	exit	113.5	5	train.py
1789645323	2601	362.725	counted	exit	98.2	5	train.py
1789645434	2697	365.857	counted	exit	99.4	5	train.py
1789645446	2741	1.434	uncounted	exit	0.8	0	-c
1789645514	2844	192.462	counted	exit	54.5	2	train.py
1789645606	2980	242.614	counted	exit	66.2	3	train.py
1789645790	3100	389.720	counted	exit	106.4	5	train.py
1789645857	3215	142.997	uncounted	exit	39.6	2	/cell/harness_state/tmp/opencode/analysis14.py
1789645965	3301	348.145	counted	exit	94.7	5	train.py
1789645983	3399	0.033	uncounted	exit	0.0	0	-
1789646122	3418	507.918	uncounted	exit	136.8	6	/cell/harness_state/tmp/opencode/analysis15.py
1789646248	3471	351.615	uncounted	exit	94.4	5	-
1789646355	3575	361.652	counted	exit	97.4	5	train.py
1789646490	3677	444.129	counted	term	120.3	6	train.py
1789646635	3800	392.351	counted	exit	106.9	5	train.py
1789646838	3922	436.109	counted	exit	119.0	5	train.py
1789646966	3991	412.307	exempt	exit	112.8	5	validate.py
