ts	pid	kind	api	rows	seconds
1789544462	1547	uncounted	train	100000	2.69
1789544465	1547	uncounted	train	100000	2.80
1789544469	1547	uncounted	train	100000	3.00
1789544473	1547	uncounted	train	100000	3.00
1789544477	1547	uncounted	train	100000	3.65
1789544480	1547	uncounted	train	80000	2.16
1789544482	1547	uncounted	train	80000	2.17
1789544485	1547	uncounted	train	80000	2.16
1789544487	1547	uncounted	train	80000	2.12
1789544489	1547	uncounted	train	80000	2.14
1789544497	1569	uncounted	train	100000	2.93
1789544501	1569	uncounted	train	100000	3.03
1789544505	1569	uncounted	train	100000	3.02
1789544508	1569	uncounted	train	100000	3.11
1789544513	1569	uncounted	train	100000	3.75
1789544516	1569	uncounted	train	100000	2.18
1789544519	1569	uncounted	train	100000	3.09
1789544532	1591	uncounted	train	100000	7.22
1789544541	1591	uncounted	train	100000	6.83
1789544547	1591	uncounted	train	100000	3.96
1789544559	1591	uncounted	train	100000	10.29
1789544569	1591	uncounted	train	100000	6.60
1789544577	1591	uncounted	train	80000	5.98
1789544584	1591	uncounted	train	80000	6.05
1789544591	1591	uncounted	train	80000	6.21
1789544597	1591	uncounted	train	80000	6.16
1789544604	1591	uncounted	train	80000	6.03
1789544615	1625	uncounted	train	100000	2.63
1789544619	1625	uncounted	train	100000	2.77
1789544622	1625	uncounted	train	100000	2.76
1789544625	1625	uncounted	train	100000	2.82
1789544629	1625	uncounted	train	100000	2.98
1789544633	1625	uncounted	train	100000	2.97
1789544636	1625	uncounted	train	100000	3.02
1789544640	1625	uncounted	train	100000	2.83
1789544643	1625	uncounted	train	100000	2.89
1789544647	1625	uncounted	train	100000	2.87
1789544651	1625	uncounted	train	100000	3.80
1789544656	1625	uncounted	train	100000	3.77
1789544661	1625	uncounted	train	100000	3.86
1789544665	1625	uncounted	train	100000	3.73
1789544670	1625	uncounted	train	100000	3.86
1789544679	1715	counted	train	100000	3.88
1789544683	1715	counted	train	100000	3.83
1789544687	1715	counted	train	100000	3.86
1789544690	1715	counted	train	100000	3.58
1789544694	1715	counted	train	100000	3.62
1789544706	1749	uncounted	train	100000	3.11
1789544710	1749	uncounted	train	100000	3.17
1789544712	1749	uncounted	train	100000	1.84
1789544715	1749	uncounted	train	100000	2.25
1789544718	1749	uncounted	train	100000	3.21
1789544722	1749	uncounted	train	100000	3.00
1789544730	1770	uncounted	train	100000	3.07
1789544734	1770	uncounted	train	100000	3.06
1789544737	1770	uncounted	train	100000	2.89
1789544741	1770	uncounted	train	100000	2.96
1789544744	1770	uncounted	train	100000	2.92
1789544748	1770	uncounted	train	100000	3.06
1789544752	1770	uncounted	train	100000	3.06
1789544756	1770	uncounted	train	100000	3.04
1789544759	1770	uncounted	train	100000	3.01
1789544763	1770	uncounted	train	100000	2.97
1789544772	1792	uncounted	train	100000	3.93
1789544777	1792	uncounted	train	100000	3.81
1789544782	1792	uncounted	train	100000	3.93
1789544787	1792	uncounted	train	100000	3.79
1789544791	1792	uncounted	train	100000	3.79
1789544795	1792	uncounted	train	100000	2.91
1789544798	1792	uncounted	train	100000	2.78
1789544802	1792	uncounted	train	100000	2.87
1789544805	1792	uncounted	train	100000	2.78
1789544809	1792	uncounted	train	100000	2.95
1789544812	1792	uncounted	train	80000	2.37
1789544814	1792	uncounted	train	80000	2.38
1789544817	1792	uncounted	train	80000	2.43
1789544820	1792	uncounted	train	80000	2.46
1789544822	1792	uncounted	train	80000	2.50
1789544833	1867	counted	train	100000	4.06
1789544837	1867	counted	train	100000	3.84
1789544841	1867	counted	train	100000	3.98
1789544845	1867	counted	train	100000	3.90
1789544849	1867	counted	train	100000	3.77
1789544852	1867	counted	train	100000	2.89
1789544855	1867	counted	train	100000	2.85
1789544858	1867	counted	train	100000	2.87
