box,harness,model,seed,counted,source,status,holdout_auc,holdout_ap,baseline_auc,best_eval_auc,eval_minus_holdout,refit_suspect,violations,violations_hard,violations_review,frame_stats,frame_stats_kinds,frame_stats_lines,best_commit_holdout_auc,delivered_minus_best_commit,n_experiments,n_ok,n_timeout,n_crash,timed_out,stalled,disk_blowup,cpu_killed,cpu_refusals,cpu_over_budget,fits_total,fits_uncounted,cpu_seconds_counted,cpu_seconds_uncounted,cpu_seconds_container,exit_code,endpoint_at_end,final_md_written,provider_error,provider_error_recorded,holdout_error,wall_minutes,tokens_in,tokens_out,started,ended,cpuset,scored_on
var5,hermes,glm-5.3,9,True,runs,scored,0.729314216302,0.7200152916343447,0.714770751736,0.7287,-0.0006,False,,,,False,,,0.729314216302,0.0,40,29,9,2,False,False,False,False,0,False,294,0,11177.5,2.2,11746.9,0,ok,True,,,,61.5,5909854,48461,2026-09-17T13:43:41+00:00,2026-09-17T14:45:10+00:00,0-3,Linux-x86_64-docker
var5,hermes,glm-5.3,9,False,set_aside,provider_error,0.7367010596979999,0.7296924174015595,0.714770751736,0.7384,0.0017,False,,,,False,,,,,33,32,0,1,False,False,False,False,0,False,83,0,5105.0,0.4,5176.4,1,HTTP 429: Organization has reached its maximum number of concurrent requests.,False, use pattern matching only api call failed after 3 retries: http 429: organizati, use pattern matching only api call failed after 3 retries: http 429: organizati,,66.3,4419324,23118,2026-09-17T06:09:48+00:00,2026-09-17T07:16:04+00:00,12-15,Linux-x86_64-docker
var5,hermes,glm-5.3,10,True,runs,scored,0.7535895298699999,0.7379141431933993,0.714770751736,0.7527,-0.0009,False,,,,False,,,0.7535895298699999,0.0,40,40,0,0,False,False,False,False,0,False,74,0,1988.5,3.2,2152.3,0,ok,True,,,,73.6,4651010,34565,2026-09-17T06:37:35+00:00,2026-09-17T07:51:11+00:00,8-11,Linux-x86_64-docker
var5,hermes,glm-5.3,11,True,runs,scored,0.751278536342,0.7377422848459586,0.714770751736,0.7506,-0.0007,False,,,,False,,,0.751278536342,0.0,40,35,4,1,False,False,False,False,0,False,106,0,11969.1,1.1,12560.2,0,ok,True,,,,82.3,6256183,65115,2026-09-17T07:52:01+00:00,2026-09-17T09:14:17+00:00,8-11,Linux-x86_64-docker
var5,hermes,glm-5.3,12,True,runs,scored,0.748407837982,0.7370857022575826,0.714770751736,0.7475,-0.0009,False,,,,False,,,0.748407837982,0.0,15,14,1,0,False,False,False,False,0,False,568,512,1489.3,14935.3,17080.3,0,ok,True,,,,87.7,6862425,62932,2026-09-17T09:18:38+00:00,2026-09-17T10:46:17+00:00,8-11,Linux-x86_64-docker
var5,hermes,glm-5.3,13,True,runs,scored,0.758726901396,0.7474326521073655,0.714770751736,0.7585,-0.0002,False,,,,False,,,0.758726901396,0.0,13,13,0,0,False,False,False,False,1,False,3337,0,887.7,1.2,0.0,0,ok,True,,,,97.6,7603839,76866,2026-09-17T10:28:36+00:00,2026-09-17T12:06:13+00:00,4-7,Linux-x86_64-docker
var6,hermes,glm-5.3,14,True,runs,scored,0.734755531654,0.724011536252135,0.714770751736,0.7347,-0.0001,False,,,,False,,,0.734755531654,0.0,40,38,2,0,False,False,False,False,0,False,2911,0,9368.6,1.1,9842.8,0,ok,True,,,,63.0,3785512,47950,2026-09-16T18:25:18+00:00,2026-09-16T19:28:21+00:00,8-11,Linux-x86_64-docker
var6,hermes,glm-5.3,15,True,runs,scored,0.7218780930440001,0.7109884272526855,0.714770751736,0.7213,-0.0006,False,,,,False,,,0.7218780931600001,-0.0,40,38,0,2,False,False,False,False,0,False,440,18,1055.7,38.7,1347.7,0,ok,True,,,,18.5,5347664,41309,2026-09-16T19:31:09+00:00,2026-09-16T19:49:39+00:00,8-11,Linux-x86_64-docker
var6,hermes,glm-5.3,16,True,runs,scored,0.738175148092,0.7276041078458724,0.714770751736,0.7369,-0.0013,False,,,,False,,,0.738175148092,0.0,32,29,2,1,False,False,False,False,0,False,1918,1537,6198.0,11329.4,18129.9,0,ok,True,,,,138.2,9056513,96395,2026-09-16T20:42:22+00:00,2026-09-16T23:00:32+00:00,4-7,Linux-x86_64-docker
var6,hermes,glm-5.3,17,True,runs,scored,0.7558087726080001,0.7467866932791644,0.714770751736,0.7551,-0.0007,False,,,,False,,,0.7558087726080001,0.0,40,38,2,0,False,False,False,False,0,False,155,0,8833.0,2.2,9400.7,0,ok,True,,,,53.7,4903419,38198,2026-09-17T13:39:48+00:00,2026-09-17T14:33:30+00:00,0-3,Linux-x86_64-docker
var6,hermes,glm-5.3,17,False,set_aside,provider_error,0.7561187274700001,0.7438434382784207,0.714770751736,0.7548,-0.0013,False,,,,False,,,,,16,14,2,0,False,False,False,False,0,False,572,481,3546.4,13334.8,17137.2,1,ok,False, use pattern matching only api call failed after 3 retries: http 429: organizati, use pattern matching only api call failed after 3 retries: http 429: organizati,,153.1,6438480,103485,2026-09-16T21:39:35+00:00,2026-09-17T00:12:43+00:00,8-11,Linux-x86_64-docker
var6,hermes,glm-5.3,18,True,runs,scored,0.754196472366,0.7437996151609039,0.714770751736,0.7539,-0.0003,False,,,,False,,,0.754196472366,0.0,40,40,0,0,False,False,False,False,0,False,461,0,5362.7,0.4,5797.8,0,ok,True,,,,37.2,4804314,31715,2026-09-17T13:39:48+00:00,2026-09-17T14:17:01+00:00,4-7,Linux-x86_64-docker
var6,hermes,glm-5.3,18,False,set_aside,provider_error,0.724332247302,0.7136563444944575,0.714770751736,0.7241,-0.0002,False,,,,False,,,,,11,10,0,1,False,False,False,False,0,False,10,0,225.8,0.3,270.0,1,HTTP 429: Organization has reached its maximum number of concurrent requests.,False, use pattern matching only api call failed after 3 retries: http 429: organizati, use pattern matching only api call failed after 3 retries: http 429: organizati,,50.3,1011369,14728,2026-09-16T23:39:35+00:00,2026-09-17T00:29:53+00:00,0-3,Linux-x86_64-docker
var6,hermes,glm-5.3,19,True,runs,scored,0.714770751736,0.7041294810841159,0.714770751736,,,False,,,,False,,,,,0,0,0,0,False,False,False,False,0,False,,,0.0,0.2,14.8,1,ok,False,,,,12.7,64584,2982,2026-09-17T01:05:45+00:00,2026-09-17T01:18:27+00:00,12-15,Linux-x86_64-docker
var6,hermes,glm-5.3,20,True,runs,scored,0.726208612652,0.7151795602844893,0.714770751736,0.7392,0.013,False,,,,True,groupby;rank;transform,"132: agrp = aser.groupby(dkey, observed=True) | 109: grp = X.groupby(okey, observed=True)[""minute_of_day""] | 110: X[""dep_order""] = grp.rank().to_numpy()",0.726208612652,0.0,40,33,6,1,False,False,False,False,0,False,166,2,12946.2,23.8,13554.1,0,ok,True,,,,72.6,7720370,61894,2026-09-17T13:39:27+00:00,2026-09-17T14:52:03+00:00,12-15,Linux-x86_64-docker
