ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789510321	144	5.255	counted	exit	3.9	1	train.py
1789510336	185	0.790	uncounted	exit	0.5	0	-c
1789510349	264	20.244	counted	exit	6.0	1	train.py
1789510358	371	12.352	counted	exit	3.8	1	train.py
1789510365	468	3.153	counted	exit	1.4	1	train.py
1789510373	584	1.827	counted	exit	1.1	0	train.py
1789510378	674	3.285	counted	exit	1.5	1	train.py
1789510393	772	2.612	counted	exit	1.3	1	train.py
1789510397	848	3.670	counted	exit	1.5	1	train.py
1789510402	925	6.790	counted	exit	2.3	1	train.py
1789510411	1021	10.011	counted	exit	3.2	1	train.py
1789510426	1140	14.388	counted	exit	5.0	1	train.py
1789510511	1263	6.446	counted	exit	2.3	1	train.py
1789510523	1362	7.592	counted	exit	2.5	1	train.py
1789510530	1461	6.665	counted	exit	2.3	1	train.py
1789510545	1576	26.198	counted	exit	7.3	5	train.py
1789510549	1618	0.717	uncounted	exit	0.4	0	-c
1789510557	1646	0.694	uncounted	exit	0.4	0	-c
1789510565	1703	6.825	counted	exit	2.4	1	train.py
1789510572	1779	6.561	counted	exit	2.2	1	train.py
1789510580	1855	6.350	counted	exit	2.2	1	train.py
1789510587	1955	6.435	counted	exit	2.2	1	train.py
1789510598	2070	5.793	counted	exit	2.0	1	train.py
1789510604	2146	6.318	counted	exit	2.1	1	train.py
1789510608	2223	6.295	counted	exit	2.1	1	train.py
1789510617	2342	7.040	counted	exit	2.5	1	train.py
1789510625	2457	6.722	counted	exit	2.3	1	train.py
1789510630	2533	7.430	counted	exit	2.4	1	train.py
1789510637	2609	7.485	counted	exit	2.5	1	train.py
1789510643	2685	9.532	counted	exit	3.0	1	train.py
1789510649	2762	12.510	counted	exit	3.8	1	train.py
1789510655	2838	11.049	counted	exit	3.4	1	train.py
1789510667	2938	29.328	counted	exit	8.3	1	train.py
1789510686	3014	34.797	counted	exit	10.3	1	train.py
1789510704	3093	50.152	counted	exit	14.7	1	train.py
1789510723	3172	51.711	counted	exit	16.5	1	train.py
1789510744	3251	68.852	counted	exit	18.7	1	train.py
1789510770	3329	78.809	counted	exit	22.0	1	train.py
1789510818	3407	173.657	counted	exit	45.8	1	train.py
1789510856	3487	120.756	counted	exit	33.8	1	train.py
1789510908	3590	151.320	counted	exit	39.9	1	train.py
1789510995	3685	294.797	counted	exit	79.4	2	train.py
1789511077	3787	270.750	counted	exit	72.1	1	train.py
1789511140	3854	231.140	exempt	exit	60.7	1	validate.py
